id,link,content,date,retweets,favorites,mentions,hashtags,Trump or biden
1.21218E+18,https://twitter.com/JoeBiden/status/1212180387260010496,"Our final fundraising deadline of 2019 is just hours away and we need your help. Every donation É?? big or small É?? goes a long way to helping us make Donald Trump a one-term president.

Chip in before midnight to help us reach our goal: https://t.co/CznFJFHT2T",1/1/2020 1:15,269,948,,,Biden
1.21244E+18,https://twitter.com/JoeBiden/status/1212442112219844609,"Every single human being deserves to be treated with dignity. Everyone. The poor and the powerless, the marginalized and vulnerable, the É??least of these.É?ù That has been the animating principle of my life and my faith. https://t.co/BwmOVQjxVk",1/1/2020 18:35,2423,11574,,,Biden
1.21252E+18,https://twitter.com/JoeBiden/status/1212524152608833536,"With just over one month until the Iowa Caucus, we need all hands on deck to talk with folks about what's at stake in this election.

Join our team today and let's get to work: https://t.co/gnaFCAUzju",1/2/2020 0:01,368,1457,,,Biden
1.21254E+18,https://twitter.com/JoeBiden/status/1212540258681851905,This election is about the soul of our nation É?? and Donald Trump is poison to our soul. https://t.co/cwzycLJV0d,1/2/2020 1:05,10192,44886,,,Biden
1.21256E+18,https://twitter.com/JoeBiden/status/1212556035283705858,Every day that Donald Trump remains in the White House puts the future of our planet at risk. We have to beat him this November and take immediate action to address the climate emergency. https://t.co/nMDFaCV4Up,1/2/2020 2:07,2005,9581,,,Biden
1.21277E+18,https://twitter.com/JoeBiden/status/1212768009430937601,"It was a privilege to work with @JulianCastro during the Obama Administration, and a true honor to be in this talented field of candidates with him. He led his historic campaign with grace and heart and used his platform to lift the voices of others. Thank you, Mr. Secretary.",1/2/2020 16:10,2284,17156,,,Biden
1.21279E+18,https://twitter.com/JoeBiden/status/1212794433617436672,"Like Vicky said, we need a president who will restore integrity to the White House. https://t.co/i8k2OwsK7k",1/2/2020 17:55,1297,6657,,,Biden
1.21281E+18,https://twitter.com/JoeBiden/status/1212811057313583106,I'm excited to share that we raised $22.7 million this last quarter É?? our biggest quarter so far this campaign! Thank you to everyone who chipped in what you could É?? your support means the world to me. You truly are the heart of our campaign. https://t.co/L53z9YbLsX,1/2/2020 19:01,2351,14346,,,Biden
1.21287E+18,https://twitter.com/JoeBiden/status/1212871441093255168,"If you're a teacher or a firefighter, you're probably paying more in taxes than Amazon or Netflix. We've got to make sure corporations pay their fair share.",1/2/2020 23:01,2961,18167,,,Biden
1.2129E+18,https://twitter.com/JoeBiden/status/1212898749305020416,"Before the holidays, Jill walked across the Gateway International Bridge into Matamoros, Mexico, where families are enduring inhumane conditions. Jill witnessed the cruelty of Trump's policies and the resiliency of those risking their lives to seek asylum. https://t.co/3KLjtwEtNE",1/3/2020 0:49,1115,3134,,,Biden
1.21291E+18,https://twitter.com/JoeBiden/status/1212908938590670848,"We're just one full day into 2020 and there have already been at least three mass shootings across the country.
 
Enough is enough. We have a moral obligation to do everything in our power to end this gun violence epidemic.",1/3/2020 1:30,1933,9692,,,Biden
1.21292E+18,https://twitter.com/JoeBiden/status/1212922129886388224,Donald Trump stacked the Supreme Court with justices to try to overturn Roe v. WadeÉ??and now Republicans are seizing the opportunity to restrict a woman's constitutional right to choose. We have to fight these attacks and ensure this choice remains between a woman and her doctor. https://t.co/5goWP2Bkuv,1/3/2020 2:22,2372,7261,,,Biden
1.21295E+18,https://twitter.com/JoeBiden/status/1212954848666234880,My statement on the killing of Qassem Soleimani. https://t.co/4Q9tlLAYFB,1/3/2020 4:32,6751,24424,,,Biden
1.21313E+18,https://twitter.com/JoeBiden/status/1213131655474376705,"Our world has been set on edge by an erratic, unstable, and dangerously incompetent commander in chief. The stakes could not be higher. Every day that Donald Trump directs American national security is a dangerous day for the United States and the world. https://t.co/EoWjabVp3u",1/3/2020 16:15,10453,37963,,,Biden
1.21322E+18,https://twitter.com/JoeBiden/status/1213217722508570624,We need a leader who will be ready on day one to pick up the pieces of Donald Trump's broken foreign policy and repair the damage he has caused around the world. https://t.co/mB6i1U2yPv,1/3/2020 21:57,3584,15405,,,Biden
1.21327E+18,https://twitter.com/JoeBiden/status/1213265034601611264,"The prospect of direct conflict with Iran is greater than ever. Does Donald Trump have a strategy for what comes next?

Nothing we have seen from this Administration suggests that they are prepared to deal with the risks we now confront. https://t.co/RF7DD3rcDb",1/4/2020 1:05,3977,14234,,,Biden
1.21352E+18,https://twitter.com/JoeBiden/status/1213515434420391937,"On the trail, I hear countless stories from folks whose lives have been changed by Obamacare. We can't afford to start overÉ??we need a president who will protect and build on it to ensure everyone has access to quality, affordable care. https://t.co/99TUE7n9Gs",1/4/2020 17:40,2638,10866,,,Biden
1.21356E+18,https://twitter.com/JoeBiden/status/1213555699671851015,"We can overcome four years of Donald Trump, but if we give him eight years in the White House he will forever and fundamentally alter the character of this nation. We can't let that happen. https://t.co/LPhHZS08UE",1/4/2020 20:20,5631,25642,,,Biden
1.21357E+18,https://twitter.com/JoeBiden/status/1213573089910493184,"This simply shouldnÉ??t happen in America. Folks deserve access to affordable, quality long-term care in their homes. 

We have to fight for Alex and those who use long-term care. https://t.co/xOcxW2YJPt",1/4/2020 21:29,450,1824,,,Biden
1.21361E+18,https://twitter.com/JoeBiden/status/1213606448699232257,"The world is burning, yet Donald Trump continues to deny the evidence of climate change before all of our eyes. We have to get him out of the White House and take urgent global action to combat the climate crisis before itÉ??s too late. https://t.co/z6EK9uYXzO",1/4/2020 23:41,5304,23357,,,Biden
1.21366E+18,https://twitter.com/JoeBiden/status/1213663155743842304,"The more the walls close in on this guy, the more irrational he becomes. https://t.co/Nba7Color1",1/5/2020 3:26,8296,44141,,,Biden
1.21391E+18,https://twitter.com/JoeBiden/status/1213908021304332288,"Hey @realDonaldTrump, do you think the American people want another war in the Middle East? Des Moines certainly doesnÉ??t. https://t.co/uFgQuqg1oL",1/5/2020 19:40,3235,14803,,,Biden
1.21396E+18,https://twitter.com/JoeBiden/status/1213955345372065792,"This is a crisis of Donald TrumpÉ??s own making. He claimed pulling out of the Iran deal would deter Iranian aggression and result in a better deal. He has failed on both counts.

He is the most erratic and incompetent commander in chief weÉ??ve ever had. https://t.co/wHhWJA1Zhm",1/5/2020 22:48,12729,50500,,,Biden
1.21398E+18,https://twitter.com/JoeBiden/status/1213981505443287040,"Our Statue of Liberty invites in the tired, the poor, the huddled masses yearning to breathe free. But Donald Trump has slammed the door in the face of families fleeing persecution and violence. Jill traveled to Matamoros to shed light on how these policies hurt asylum seekers. https://t.co/2Bwwl2pEzq",1/6/2020 0:32,1234,4339,,,Biden
1.21399E+18,https://twitter.com/JoeBiden/status/1213987660802465793,I stand in solidarity with those marching in New York against the rise of anti-Semitism. This is what the battle for the soul of our nation looks like É?? and it's up to all of us to reject intolerance in all its forms and give hate no safe harbor. https://t.co/XyTOdFhpKM,1/6/2020 0:56,1611,8477,,,Biden
1.21427E+18,https://twitter.com/JoeBiden/status/1214267892482469888,Let's be clear: Donald Trump does not have the authority to take us into war with Iran without Congressional approval. A president should never take this nation to war without the informed consent of the American people.,1/6/2020 19:30,8448,44760,,,Biden
1.2143E+18,https://twitter.com/JoeBiden/status/1214298343435915264,"On D??a de los Reyes, as Christmas comes to a close, we are reminded of the call of the three kings: to give of ourselves without expectation, seek peace no matter how long the journey, and know that a bright future is within reach. Jill and I wish a Happy Three KingsÉ?? Day to all!",1/6/2020 21:31,567,3478,,,Biden
1.21434E+18,https://twitter.com/JoeBiden/status/1214340404289703936,"Trump wants to ignore climate science when making infrastructure decisions. In the Biden Administration, every dollar spent toward rebuilding our roads, bridges, buildings, the electric grid, and our water infrastructure will be used to reduce and withstand a changing climate. https://t.co/QYjbobZQAD",1/7/2020 0:18,1225,5046,,,Biden
