SN,Date,Mean.Humidity,Mean.Sea.Level.PressureIn,Mean.VisibilityMiles,CloudCover,Normalized water pressure,Normalized visiblity,normalized cloudcover,normalized humidity,Sunny or not,Events,Normalized dew point
22435,1/4/2010,53,29.71,10,4,0.417142857,1,0.5,0.413333333,Sunny,Sunny,0.238636364
22436,1/5/2010,53,29.73,10,4,0.428571429,1,0.5,0.413333333,Sunny,Sunny,0.261363636
22437,1/6/2010,52,29.73,10,5,0.428571429,1,0.625,0.4,Sunny,Sunny,0.295454545
22438,1/7/2010,59,29.87,10,4,0.508571429,1,0.5,0.493333333,Sunny,Sunny,0.375
22440,1/9/2010,45,30.06,10,0,0.617142857,1,0,0.306666667,Sunny,Sunny,0.181818182
22441,1/10/2010,39,30.23,10,2,0.714285714,1,0.25,0.226666667,Sunny,Sunny,0.136363636
22442,1/11/2010,47,30.14,10,4,0.662857143,1,0.5,0.333333333,Sunny,Sunny,0.25
22443,1/12/2010,49,30.06,10,4,0.617142857,1,0.5,0.36,Sunny,Sunny,0.284090909
22444,1/13/2010,50,30.18,10,6,0.685714286,1,0.75,0.373333333,Sunny,Sunny,0.284090909
22445,1/14/2010,65,30.24,10,1,0.72,1,0.125,0.573333333,Sunny,Sunny,0.375
22450,1/19/2010,77,29.91,8,6,0.531428571,0.777777778,0.75,0.733333333,Sunny,Sunny,0.522727273
22451,1/20/2010,60,29.96,10,2,0.56,1,0.25,0.506666667,Sunny,Sunny,0.397727273
22452,1/21/2010,56,30.18,10,3,0.685714286,1,0.375,0.453333333,Sunny,Sunny,0.386363636
22453,1/22/2010,49,29.98,10,6,0.571428571,1,0.75,0.36,Sunny,Sunny,0.340909091
22454,1/23/2010,53,30.25,10,1,0.725714286,1,0.125,0.413333333,Sunny,Sunny,0.352272727
22458,1/27/2010,52,30.06,10,2,0.617142857,1,0.25,0.4,Sunny,Sunny,0.340909091
22461,1/30/2010,40,30.18,10,7,0.685714286,1,0.875,0.24,Sunny,Sunny,0.113636364
22462,1/31/2010,38,30.09,10,3,0.634285714,1,0.375,0.213333333,Sunny,Sunny,0.147727273
22463,2/1/2010,41,30.23,10,4,0.714285714,1,0.5,0.253333333,Sunny,Sunny,0.25
22466,2/4/2010,39,30.3,10,2,0.754285714,1,0.25,0.226666667,Sunny,Sunny,0.227272727
22467,2/5/2010,49,30.21,10,8,0.702857143,1,1,0.36,Sunny,Sunny,0.306818182
22469,2/7/2010,46,29.87,10,0,0.508571429,1,0,0.32,Sunny,Sunny,0.227272727
22474,2/12/2010,48,29.81,10,1,0.474285714,1,0.125,0.346666667,Sunny,Sunny,0.295454545
22475,2/13/2010,52,29.59,10,6,0.348571429,1,0.75,0.4,Sunny,Sunny,0.284090909
22480,2/18/2010,59,29.59,10,5,0.348571429,1,0.625,0.493333333,Sunny,Sunny,0.397727273
22481,2/19/2010,54,29.76,10,5,0.445714286,1,0.625,0.426666667,Sunny,Sunny,0.409090909
22482,2/20/2010,60,29.94,10,3,0.548571429,1,0.375,0.506666667,Sunny,Sunny,0.431818182
22491,3/1/2010,58,29.72,10,3,0.422857143,1,0.375,0.48,Sunny,Sunny,0.443181818
22494,3/4/2010,49,29.7,10,7,0.411428571,1,0.875,0.36,Sunny,Sunny,0.409090909
22496,3/6/2010,30,30.1,10,0,0.64,1,0,0.106666667,Sunny,Sunny,0.238636364
22497,3/7/2010,38,30.01,10,0,0.588571429,1,0,0.213333333,Sunny,Sunny,0.363636364
22499,3/9/2010,51,29.95,10,2,0.554285714,1,0.25,0.386666667,Sunny,Sunny,0.443181818
22500,3/10/2010,60,30.03,10,5,0.6,1,0.625,0.506666667,Sunny,Sunny,0.477272727
22501,3/11/2010,74,30.07,9,7,0.622857143,0.888888889,0.875,0.693333333,Sunny,Sunny,0.590909091
22506,3/16/2010,44,29.94,10,4,0.548571429,1,0.5,0.293333333,Sunny,Sunny,0.409090909
22508,3/18/2010,51,29.82,10,1,0.48,1,0.125,0.386666667,Sunny,Sunny,0.511363636
22509,3/19/2010,52,29.84,10,1,0.491428571,1,0.125,0.4,Sunny,Sunny,0.534090909
22510,3/20/2010,50,29.99,10,3,0.577142857,1,0.375,0.373333333,Sunny,Sunny,0.556818182
22511,3/21/2010,68,30.07,10,5,0.622857143,1,0.625,0.613333333,Sunny,Sunny,0.602272727
22514,3/24/2010,42,29.78,10,2,0.457142857,1,0.25,0.266666667,Sunny,Sunny,0.431818182
22515,3/25/2010,65,29.9,10,5,0.525714286,1,0.625,0.573333333,Sunny,Sunny,0.556818182
22517,3/27/2010,44,30.37,10,3,0.794285714,1,0.375,0.293333333,Sunny,Sunny,0.272727273
22522,4/1/2010,67,30.08,10,3,0.628571429,1,0.375,0.6,Sunny,Sunny,0.613636364
22526,4/5/2010,60,30.06,10,5,0.617142857,1,0.625,0.506666667,Sunny,Sunny,0.636363636
22527,4/6/2010,73,29.86,9,5,0.502857143,0.888888889,0.625,0.68,Sunny,Sunny,0.715909091
22529,4/8/2010,76,29.67,9,5,0.394285714,0.888888889,0.625,0.72,Sunny,Sunny,0.727272727
22533,4/12/2010,40,30.31,10,4,0.76,1,0.5,0.24,Sunny,Sunny,0.409090909
